specName,End,Start
digitata_Beella,0,5
bulloides_Globigerina,0,14.8
falconensis_Globigerina,0,18.4
adamsi_Globigerinella,0,0.7
calida_Globigerinella,0,4.4
siphonifera_Globigerinella,0,12.5
conglobatus_Globigerinoides,0,7.5
ruber_Globigerinoides,0,15.1
ruber_Globigerinoides_pink,0,15.1
ruber_Globigerinoides_white,0,15.1
inflata_Globoconella,0,2.6
conglomerata_Globoquadrina,0,4.2
tumida_Globorotalia,0,5.8
ungulata_Globorotalia,0,4.9
hexagonus_Globorotaloides,0,17.3
rubescens_Globoturborotalita,0,3.6
tenella_Globoturborotalita,0,2.4
bermudezi_Hirsutella,0,2
hirsuta_Hirsutella,0,3
scitula_Hirsutella,0,15
theyeri_Hirsutella,0,3.5
fimbriata_Menardella,0,0.2
menardii_Menardella,0,12.31
dutertrei_Neogloboquadrina,0,6.9
incompta_Neogloboquadrina,0,10.8
pachyderma_Neogloboquadrina,0,10.8
suturalis_Orbulina,0,15.1
universa_Orbulina,0,15.05
finalis_Pulleniatina,0,4.25
obliquiloculata_Pulleniatina,0,5.6
dehiscens_Sphaeroidinella,0,5.6
sacculifer_Trilobatus,0,10.9
trilobus_Trilobatus,0,22.6
cavernula_Truncorotalia,0,0.9
crassaformis_Truncorotalia,0,5.7
excelsa_Truncorotalia,0,1.85
oceanica_Truncorotalia,0,5.5
pachytheca_Truncorotalia,0,1.8
truncatulinoides_Truncorotalia,0,1.9
clarkei_Turborotalita,0,1.6
cristata_Turborotalita,0,4.5
humilis_Turborotalita,0,6
quinqueloba_Turborotalita,0,25.4
flexuosa_Globorotalia,0.2,5.7
megastoma_Beella,0,0.3
hessi_Truncorotalia,0.4,1.8
umbilicata_Globigerina,0.6,2.5
druryi_Globoturborotalita,0.6,21.5
praedigitata_Beella,0.8,12.4
crassula_Truncorotalia,0.9,5.55
ronda_Truncorotalia,1,4
tosaensis_Truncorotalia,1.2,3.2
obliquus_Globigerinoides,1.3,21.95
apertura_Globoturborotalita,1.3,10.9
primalis_Pulleniatina,1.3,5.7
tenuitheca_Truncorotalia,1.3,3.4
viola_Truncorotalia,1.4,3.5
extremus_Globigerinoides,1.6,8.3
humerosa_Neogloboquadrina,1.6,9.7
pertenius_Menardella,1.7,3.2
acostaensis_Neogloboquadrina,1.7,10.9
praecursor_Pulleniatina,1.75,6.8
exilis_Menardella,1.9,5.7
eamesi_Globigerina,2,26.3
fistulosa _Globigerinoidesella,2,3.6
decoraperta_Globoturborotalita,2,15
multicamerata_Menardella,2.2,6.5
bollii_Globigerinoides,2.3,12.5
puncticulata_Globoconella,2.3,4.6
limbata_Menardella,2.3,11.4
paenedehiscens_Sphaeroidinellopsis,2.3,7.1
seminulina_Sphaeroidinellopsis,2.3,16.4
woodi_Globoturborotalita,2.4,30.6
miocenica_Menardella,2.4,3.3
pseudomiocenica_Menardella,2.4,7.5
margaritae_Hirsutella,2.95,5.89
altispira_Dentoglobigerina,3,23.7
globosa_Dentoglobigerina,3,27.1
baroemoensis_Dentoglobigerina,3.3,32
venezuelana_Dentoglobigerina,3.3,33.2
crassaconica_Truncorotalia,3.5,4.3
kochi_Sphaeroidinellopsis,3.6,14.4
pliozea_Globoconella,3.9,5.05
evoluta_Hirsutella,3.9,4.8
nicobarensis_Protentella,4,29.39
spectabilis_Pulleniatina,4.2,5.2
nepenthes_Globoturborotalita,4.3,12.1
cibaoensis_Hirsutella,4.4,7.2
praespectabilis_Pulleniatina,4.4,4.6
sphericomiozea_Globoconella,4.5,5.4
plesiotumida_Globorotalia,4.5,6.4
praebulloides_Globigerina,4.8,33.8
dehiscens_Globoquadrina,4.8,25.1
variabilis_Globorotaloides,4.8,17.1
juanai_Hirsutella,4.8,10.9
primitiva_Hirsutella,4.8,5.9
seigliei_Globigerinoides,5.3,9.6
terminalis_Globoconella,5.3,5.6
kennetti_Globoturborotalita,5.3,9
conomiozea_Globoconella,5.5,6
conoidea_Globoconella,5.7,16.4
praemargaritae_Hirsutella,5.7,8.2
merotumida_Globorotalia,5.8,11
lenguaensis_Fohsella,6.7,13.7
continuosa_Neogloboquadrina,7.8,23.2
paralenguaensis_Fohsella,9.3,13.6
challengeri_Hirsutella,10,15.15
subquadratus_Globigerinoides,10.8,23
parvulus_Catapsydrax,10.9,17.1
larmeui_Dentoglobigerina,11.2,27.3
miozea_Globoconella,11.2,18.3
siakensis_Paragloborotalia,11.4,30.3
prolixa_Protentella,11.4,29.4
mayeri_Paragloborotalia,11.5,28
praesiphonifera_Globigerinella,11.7,23.2
fohsi_Fohsella,11.9,13.4
lobata_Fohsella,11.9,13.3
robusta_Fohsella,11.9,13.1
bermudezi_Clavatorella,12.1,16.4
mitra_Globigerinoides,12.1,18
disjunctus_Sphaeroidinellopsis,12.1,18.1
praemenardii_Menardella,12.3,14.6
acrostoma_Paragloborotalia,12.6,23.2
praefohsi_Fohsella,13.1,13.8
peripheroacuta_Fohsella,13.4,14.3
peripheroronda_Fohsella,13.8,22
bella_Paragloborotalia,13.9,18.6
archeomenardii_Menardella,14.2,15.6
diminutus_Globigerinoides,14.8,17.3
praescitula_Hirsutella,14.8,18.3
sicanus_Trilobatus,14.8,16.4
circularis_Praeorbulina,14.9,15.7
gigantea_Hirsutella,8.8,14.99
curva_Praeorbulina,15,15.9
glomerosa_Praeorbulina,15,15.8
brazieri_Globoturborotalita,15.1,23.8
nana_Paragloborotalia,15.1,47.5
semivera_Paragloborotalia,15.5,30.5
obesa_Globigerinella,15.6,31.2
bisphericus_Trilobatus,15.6,18.2
eovariabilis_Globorotaloides,16,47
labiacrassata_Globoturborotalita,16.3,30.4
birnageae_Fohsella,16.4,17
altiapertura_Globigerinoides,16.4,22
parawoodi_Globigerinoides,16.4,21.5
zealandica_Globorotalia,16.4,18.6
incognita_Paragloborotalia,16.4,20.9
connecta_Globoturborotalita,16.8,23
stainforthi_Catapsydrax,16.9,27.5
dissimilis_Catapsydrax,17.3,37.6
unicavus_Catapsydrax,17.3,55
binaiensis_Dentoglobigerina,18.8,26
globularis_Dentoglobigerina,18.8,34
primordius_Trilobatus,18.8,27
ciperoensis_Globigerina,19.3,31.2
kugleri_Paragloborotalia,21.5,23.8
praequinqueloba_Turborotalita,22.4,36
angulisuturalis_Globigerina,22.5,29.4
testarugosa_Globorotaloides,22.5,32.5
pseudokugleri_Paragloborotalia,23.5,37.2
prasaepis_Dentoglobigerina,23.8,33.3
officinalis_Globigerina,23.8,43.5
anguliofficinalis_Globoturborotalita,23.8,34.5
ouachitaensis_Globoturborotalita,23.8,43.1
sellii_Dentoglobigerina,24.1,33.4
rohri_Dentoglobigerina,24.3,30
tapuriensis_Dentoglobigerina,25.5,33.7
dalhousiei_Protentelloides,23.8,25.7
primitiva_Protentelloides,23.8,26.3
opima_Paragloborotalia,27.1,30.3
galavisi_Dentoglobigerina,27.2,39
gortanii_Subbotina,27.2,39.1
sp2_Subbotina,27.2,33.8
pseudovenezuelana_Dentoglobigerina,27.4,35.4
angiporoides_Subbotina,28.5,42.3
euapertura_Globoturborotalita,30.25,32.65
collactea_Acarinina,30.3,50.45
gnaucki_Globoturborotalita,30.3,35.3
martini_Globoturborotalita,30.3,44
utilisindex_Subbotina,30.3,35.4
ampliapertura_Turborotalia,30.3,35
increbescens_Turborotalia,30.3,39.2
echinata_Acarinina,31.8,43.2
naguewichiensis_Pseudohastigerina,32,35.8
corpulenta_Subbotina,32.1,47.25
micra_Pseudohastigerina,32.2,48.1
eocaena_Subbotina,32.2,50.7
sp1_Subbotina,32.6,34.1
sp_Dentoglobigerina,32.9,33.9
howei_Catapsydrax,33.7,44.35
inflata_Cribrohantkenina,33.7,36.4
quadrocameratus_Globorotaloides,33.7,55.2
alabamensis_Hantkenina,33.7,39.8
compressa_Hantkenina,33.7,41.2
nanggulanensis_Hantkenina,33.7,38.1
primitiva_Hantkenina,33.7,40
griffinoides_Paragloborotalia,33.7,55.45
jacksonensis_Subbotina,33.7,43.8
linaperta_Subbotina,33.7,52
yeguaensis_Subbotina,33.7,50.4
tropicalis_Globigerinatheka,33.8,39.1
cerroazulensis_Turborotalia,33.8,41.8
cocoaensis_Turborotalia,33.8,38.6
cunialensis_Turborotalia,33.8,34.1
eocanica_Clavigerinella,34,48.1
africanus_Catapsydrax,34.3,39
globiformis_Catapsydrax,34.3,40.4
index_Globigerinatheka,34.3,43.8
luterbacheri_Globigerinatheka,34.3,40.3
hagni_Subbotina,34.3,48.1
pomeroli_Turborotalia,34.6,43.2
